location,latitude,longitude,accident_count,peak_hour_start,peak_hour_end,road_type,common_cause,weather_risk,fatality_rate
Ariyalur NH45 Stretch,11.14,79.0755,24,22,3,highway,drunk_driving,fog,0.28
Nagapattinam NH45A,10.7657,79.8424,20,19,1,urban,signal_jumping,rain,0.23
Tiruvarur NH45A,10.7713,79.6345,18,20,2,urban,overspeeding,rain,0.21
Mayiladuthurai NH45A,11.1018,79.6527,19,21,2,highway,fatigue,rain,0.22
Kallakurichi NH79,11.7392,78.9615,26,22,4,highway,drunk_driving,fog,0.3
Tirupattur NH48,12.488,78.573,28,20,3,highway,overspeeding,fog,0.32
Chengalpattu GST Road,12.6819,80.0275,39,19,23,highway,signal_jumping,rain,0.4
Kancheepuram NH48,12.8342,79.7036,31,20,2,highway,overtaking,normal,0.33
Thiruvallur NH205,13.1431,79.909,33,21,3,highway,overspeeding,rain,0.35
Tiruvannamalai NH66,12.2253,79.0747,30,22,4,highway,drunk_driving,fog,0.34
Vandavasi SH4,12.5005,79.2328,25,20,1,rural,overtaking,fog,0.29
Chennai ECR Beach Road,12.9855,80.2554,40,17,21,urban,signal_jumping,rain,0.38
Chennai Tambaram GST Road,12.9249,80.1,44,18,22,urban,overspeeding,rain,0.41
Hosur NH44 Border,12.7409,77.8253,36,21,3,highway,overspeeding,fog,0.39
Theni NH85 Ghat,10.0104,77.4769,32,7,11,rural,overspeeding,fog,0.37
Ooty Mettupalayam Ghat,11.406,76.74,34,8,12,rural,overspeeding,fog,0.42
Kumbakonam NH36,10.9617,79.3881,21,20,2,urban,signal_jumping,normal,0.24
Ambur NH48 Leather Town,12.7913,78.7169,24,21,3,highway,overtaking,fog,0.28
Arakkonam NH48 Junction,13.0841,79.6697,22,20,2,highway,overspeeding,rain,0.26
Attur NH79 Salem Dist,11.5961,78.601,20,22,3,rural,drunk_driving,fog,0.25
Paramakudi NH87,9.5443,78.5899,18,23,4,highway,fatigue,normal,0.22
Sivakasi NH44 Cracker Town,9.4533,77.7983,25,20,2,highway,overspeeding,rain,0.29
Pollachi NH209,10.6609,77.0087,27,21,3,rural,overtaking,fog,0.31
Srirangam NH45 Bridge,10.856,78.6872,19,18,22,urban,signal_jumping,normal,0.22
Palani Ghat Road,10.4505,77.5164,30,7,11,rural,overspeeding,fog,0.35
Kodaikanal Ghat NH244,10.2381,77.4892,28,8,12,rural,overspeeding,fog,0.33
Manamadurai NH87 Junction,9.677,78.4715,17,22,3,highway,fatigue,normal,0.21
Kovilpatti NH44,9.1722,77.8691,21,20,2,highway,overtaking,rain,0.25
Sankarankovil SH40,9.1667,77.5333,16,21,3,rural,drunk_driving,normal,0.2
Tenkasi NH744,8.96,77.315,19,22,4,highway,overspeeding,rain,0.24
Nagercoil NH66,8.1833,77.4119,23,19,1,urban,signal_jumping,rain,0.27
Marthandam NH744,8.3072,77.2228,15,20,2,rural,fatigue,rain,0.19
Tiruttani NH205 Temple Road,13.1768,79.6111,20,22,2,highway,overspeeding,fog,0.24
Gudiyatham NH48,12.9444,78.8709,22,21,3,highway,overtaking,fog,0.27
Tindivanam NH45,12.2361,79.656,26,20,2,highway,drunk_driving,rain,0.3
Ulundurpet NH45,11.75,79.3167,21,22,3,highway,fatigue,rain,0.26
Jayankondam SH22,11.0667,79.35,16,20,2,rural,overtaking,normal,0.2
Mannargudi NH45A,10.67,79.45,18,19,1,urban,signal_jumping,rain,0.22
Pattukkottai SH64,10.42,79.32,15,21,2,rural,overspeeding,normal,0.19
Devakottai SH36,10.15,78.8167,14,22,3,rural,drunk_driving,normal,0.18
Aranthangi NH226,10.1667,79.0,17,20,2,highway,fatigue,rain,0.21
Kulithalai NH45,10.9333,78.4167,19,21,3,highway,overspeeding,fog,0.24
Musiri SH45,10.95,78.44,16,20,2,rural,overtaking,normal,0.2
Lalgudi NH45,10.87,78.81,18,22,3,rural,drunk_driving,fog,0.23
Manapparai NH45B,10.61,78.42,20,21,2,highway,overspeeding,rain,0.25
Natham SH72,10.2167,78.2,15,22,3,rural,fatigue,normal,0.19
Thuraiyur SH45,11.15,78.6,17,20,2,rural,overtaking,fog,0.21
Aruppukkottai NH44,9.5167,78.1,20,21,3,highway,overspeeding,rain,0.25
Sattur NH44,9.35,77.9167,18,22,4,highway,drunk_driving,rain,0.23
Srivilliputhur NH85,9.5128,77.634,22,20,2,highway,overtaking,fog,0.27
Rajapalayam NH744,9.4532,77.5544,24,21,3,highway,overspeeding,rain,0.29
Sankaridrug NH44,11.4833,78.1833,19,22,3,highway,fatigue,fog,0.24
Edappadi SH79,11.5833,77.8167,17,20,2,rural,overtaking,normal,0.21
Mettur Dam Road,11.7833,77.8,21,8,12,rural,overspeeding,fog,0.26
Yercaud Ghat Road,11.775,78.2083,26,7,11,rural,overspeeding,fog,0.32
Pennagaram NH44,12.1333,77.8833,18,22,3,highway,drunk_driving,fog,0.23
Palacode SH79,12.0167,78.0667,15,21,2,rural,overtaking,normal,0.19
Harur SH179,12.05,78.4833,16,20,3,rural,drunk_driving,fog,0.21
Uthangarai NH77,12.25,78.3833,14,22,2,rural,fatigue,fog,0.18
Pochampalli SH6,12.3667,78.3833,13,21,3,rural,overspeeding,normal,0.17
Gingee NH66,12.25,79.4167,20,20,2,highway,overtaking,rain,0.25
Chidambaram NH45A,11.3992,79.6937,22,19,1,urban,signal_jumping,rain,0.26
Sirkazhi NH45A,11.2333,79.7333,16,20,2,rural,fatigue,rain,0.2
Vedaranyam Coastal Road,10.37,79.85,14,21,3,rural,overspeeding,normal,0.18
Karaikal NH45A,10.9254,79.838,19,22,2,urban,signal_jumping,rain,0.24
Thiruvarur SH65,10.77,79.64,15,20,2,rural,overtaking,rain,0.19
Valangaiman SH23,10.8833,79.3833,13,21,3,rural,fatigue,normal,0.17
Kudavasal SH64,10.65,79.5,12,20,2,rural,drunk_driving,rain,0.16
Thirukuvalai NH45A,10.5167,79.6833,14,22,3,rural,overspeeding,rain,0.18
Kollidam Bridge NH45,11.25,79.4167,23,21,2,highway,overspeeding,rain,0.28
Jayamkondam NH45C,11.05,79.3667,16,20,3,rural,overtaking,normal,0.2
Sendurai NH36,11.3,79.15,15,22,2,rural,drunk_driving,fog,0.19
Udayarpalayam SH68,11.25,79.3167,14,21,3,rural,fatigue,normal,0.18
Bhuvanagiri NH36,11.4333,79.6333,17,20,2,highway,overspeeding,rain,0.22
Panruti NH45A,11.77,79.55,21,22,3,highway,overtaking,rain,0.26
Tittagudi SH5,11.6667,79.1167,15,20,2,rural,drunk_driving,fog,0.19
Kattumannarkoil SH22,11.2825,79.5403,13,21,3,rural,fatigue,normal,0.17
Ariyalur SH27 Bypass,11.1345,79.0765,24,18,22,highway,overspeeding,rain,0.18
Jayankondam Cross Road,11.2654,79.3456,22,20,2,highway,fatigue,fog,0.3
Sendurai Village Junction,11.2543,79.1876,15,7,10,rural,signal_jumping,rain,0.15
Thirumanur Highway,10.9876,79.1234,12,17,20,rural,overtaking,normal,0.1
Meensurutti NH81 Stretch,11.2345,79.4567,34,18,22,highway,overspeeding,normal,0.25
Ariyalur Cement Factory Route,11.1555,79.0888,28,6,9,urban,overtaking,fog,0.22
Keezhapalur River Bridge,11.0021,79.0522,19,19,23,highway,fatigue,rain,0.28
T-Palur Village Intersection,11.0833,79.1211,14,8,11,rural,drunk_driving,normal,0.14
Udayarpalayam Rural Route,11.1899,79.2844,16,18,21,rural,overspeeding,fog,0.17
Andimadam Junction,11.3211,79.3788,21,7,10,urban,signal_jumping,normal,0.12
Guduvancheri GST Road,12.8456,80.0543,48,7,11,highway,fatigue,normal,0.2
Mamallapuram ECR Curve,12.6234,80.1945,30,22,2,highway,drunk_driving,fog,0.35
Kelambakkam Vandalur Road,12.8056,80.1987,38,18,21,highway,signal_jumping,rain,0.15
Padur OMR Stretch,12.8123,80.2234,45,19,23,urban,overspeeding,normal,0.18
Sadras Coastal Highway,12.5211,80.1555,25,20,1,highway,fatigue,fog,0.28
Tambaram Mudichur Route,12.9122,80.0811,42,8,11,urban,overtaking,normal,0.16
Singaperumalkoil Bypass,12.7644,80.0033,36,17,20,highway,overspeeding,rain,0.22
Melmaruvathur Pilgrim Stretch,12.3988,79.8322,44,21,3,highway,fatigue,normal,0.25
Cheyyur ECR Link Road,12.3511,79.9922,18,19,23,rural,drunk_driving,fog,0.3
Thiruporur Junction,12.7233,80.1933,29,7,10,urban,signal_jumping,normal,0.14
Kathipara Flyover Exit,13.0134,80.2012,50,8,12,urban,overspeeding,normal,0.15
Koyambedu Interchange,13.0732,80.1943,47,17,21,urban,signal_jumping,rain,0.12
Anna Arch Junction,13.0756,80.2187,39,18,22,urban,overtaking,normal,0.1
Sholinganallur IT Corridor,12.9012,80.2276,42,19,23,urban,overspeeding,fog,0.14
Napier Bridge Approach,13.0644,80.2822,35,21,2,urban,fatigue,rain,0.18
Ambattur CTH Road,13.1123,80.1567,45,8,11,urban,signal_jumping,normal,0.12
Padi Bridge Intersection,13.0988,80.1877,38,18,21,urban,overspeeding,normal,0.14
Maduravoyal Bypass Exit,13.0655,80.1644,48,22,4,highway,fatigue,fog,0.22
Broadway Bus Terminus Zone,13.0877,80.2866,33,17,20,urban,signal_jumping,normal,0.11
Guindy Kathipara Junction,13.0111,80.2033,49,8,11,urban,overtaking,rain,0.15
ICF New Avadi Road,13.1011,80.2055,27,18,22,urban,overspeeding,normal,0.13
Valluvarkottam Intersection,13.0555,80.2355,34,17,20,urban,signal_jumping,normal,0.12
Kodambakkam Vadapalani Rd,13.0488,80.2111,41,19,23,urban,overtaking,rain,0.16
Rippon Buildings Spot,13.0811,80.2755,22,8,11,urban,signal_jumping,normal,0.1
Sterling Road Curve,13.0655,80.2422,25,20,2,urban,drunk_driving,fog,0.2
DMS Gemini Flyover,13.0455,80.2488,38,18,22,urban,overspeeding,normal,0.15
Rohini Theatre Koyambedu,13.0711,80.1988,46,22,3,urban,fatigue,rain,0.18
High Court Parrys Corner,13.0888,80.2888,29,17,21,urban,signal_jumping,normal,0.11
Pallikaranai Bridge Velachery,12.9355,80.2155,37,19,23,urban,overtaking,fog,0.19
Navalur OMR Junction,12.8455,80.2255,43,8,11,urban,overspeeding,normal,0.14
Siruseri OMR IT Hub,12.8255,80.2188,40,18,22,urban,signal_jumping,rain,0.16
Puzhal Bypass Exit,13.1555,80.2011,48,21,4,highway,fatigue,fog,0.24
Athupalam Ukkadam Flyover,10.9765,76.9654,46,18,22,urban,signal_jumping,normal,0.16
Pollachi Ghat Section,10.6543,76.9876,32,15,18,highway,overtaking,rain,0.25
Valparai Hairpin Bend 9,10.3245,76.9543,28,16,19,rural,overspeeding,fog,0.4
Chengapalli NH544 Stretch,11.1654,77.4231,49,1,5,highway,fatigue,normal,0.3
Mettupalayam NH67 Road,11.3011,76.9388,38,19,23,highway,overspeeding,rain,0.22
Anaikatti Ghat Road,11.1122,76.7744,24,17,20,rural,overtaking,fog,0.38
Thudiyalur Junction,11.0655,76.9422,35,8,11,urban,signal_jumping,normal,0.14
Madukkarai Walayar NH544,10.8911,76.8922,45,22,4,highway,fatigue,fog,0.28
Kallar Ghat Coonoor Route,11.3322,76.8433,30,14,18,highway,overspeeding,rain,0.35
Sulur Industrial Bypass,11.0255,77.1211,41,18,22,highway,overtaking,normal,0.2
Semmankuppam Railway Crossing,11.6754,79.7432,25,8,11,rural,signal_jumping,normal,0.15
Vadalur Industrial Route,11.5543,79.5532,31,20,1,highway,fatigue,fog,0.22
Chidambaram Bypass,11.4012,79.6876,28,18,22,highway,overspeeding,rain,0.18
Neyveli Township Road,11.6054,79.4876,19,7,10,urban,overtaking,normal,0.12
Vepur NH45 Intersection,11.5344,79.0566,39,21,3,highway,fatigue,fog,0.25
Ramanatham Highway Stretch,11.4422,79.0322,33,18,22,highway,overspeeding,normal,0.2
Panruti Village Crossing,11.7744,79.5511,15,6,9,rural,overtaking,rain,0.14
Pennadam Highway Curve,11.3855,79.1677,22,17,20,urban,signal_jumping,normal,0.16
Kurinjipadi Rural Route,11.5622,79.5988,14,8,11,rural,drunk_driving,fog,0.18
Bhuvanagiri Bridge Approach,11.4644,79.6455,26,19,23,highway,overspeeding,normal,0.22
Thoppur Ghat Killer Stretch,11.9419,78.0542,50,0,4,highway,fatigue,fog,0.45
Palacode Highway Intersection,12.3012,78.0765,22,18,21,urban,signal_jumping,normal,0.14
Pennagaram Rural Road,12.1345,77.8976,15,6,9,rural,overspeeding,rain,0.18
Morappur Junction,12.1654,78.3876,18,17,20,rural,overtaking,normal,0.12
Jittandahalli NH844,12.2211,78.1122,34,19,23,highway,fatigue,fog,0.26
Karimangalam Bypass,12.3055,78.1255,28,18,22,highway,overspeeding,normal,0.2
Harur Village Route,12.0622,78.4911,14,7,10,rural,drunk_driving,rain,0.15
Bommidi Intersection,12.0155,78.3611,17,8,11,urban,signal_jumping,normal,0.12
Nallampalli NH44,12.0722,78.1344,41,22,3,highway,fatigue,fog,0.28
Hogenakkal Ghat Road,12.1155,77.8122,25,15,19,rural,overspeeding,normal,0.35
Sirumalai Hairpin Bend 12,10.1987,77.9987,24,16,19,rural,overspeeding,fog,0.38
Kodaikanal Palani Ghat Bend 15,10.2543,77.5123,30,14,18,highway,overtaking,rain,0.42
Oddanchatram Highway NH83,10.4765,77.7543,35,19,23,highway,fatigue,normal,0.2
Batlagundu Market Road,10.1654,77.7654,20,8,11,urban,signal_jumping,normal,0.1
Vedasandur NH Stretch,10.5344,77.9511,42,21,2,highway,overspeeding,fog,0.25
Natham Village Intersection,10.2288,78.2311,18,7,10,rural,overtaking,normal,0.14
Ayyalur Bypass,10.6655,77.9833,26,18,22,highway,fatigue,rain,0.18
Palani Temple Route,10.4488,77.5255,38,6,9,urban,signal_jumping,normal,0.15
Thandikudi Hill Road,10.3011,77.6433,16,15,18,rural,overspeeding,fog,0.35
Kannivadi Highway Curve,10.5522,77.8611,29,19,23,highway,drunk_driving,normal,0.22
Bhavani River Bridge Approach,11.4432,77.6876,33,18,22,highway,overspeeding,rain,0.25
Sathyamangalam Ghat Road,11.5012,77.2435,40,21,2,highway,fatigue,fog,0.45
Perundurai Bypass,11.2765,77.5876,38,19,23,highway,overtaking,normal,0.18
Gobichettipalayam Highway,11.4543,77.4321,25,7,10,urban,signal_jumping,normal,0.14
Anthiyur Rural Road,11.5833,77.5877,15,6,9,rural,drunk_driving,fog,0.15
Chithode NH544,11.4022,77.6711,44,22,3,highway,fatigue,rain,0.28
Chennimalai Village Route,11.1688,77.6155,14,8,11,rural,overtaking,normal,0.12
Kodumudi Junction,11.0822,77.7811,19,17,20,urban,signal_jumping,normal,0.1
Bhavanisagar Forest Stretch,11.4711,77.1122,22,18,22,rural,overspeeding,fog,0.26
Kavindapadi Crossing,11.1555,77.8188,17,7,10,urban,overtaking,normal,0.14
Kallakurichi NH44 Bypass,11.7432,78.9654,42,23,3,highway,fatigue,normal,0.28
Sankarapuram Village Road,11.8765,78.9432,14,6,9,rural,drunk_driving,fog,0.15
Chinnasalem Junction,11.6432,78.8765,21,17,20,urban,signal_jumping,normal,0.12
Kalrayan Hills Ghat Bend,11.8544,78.7555,26,15,19,rural,overspeeding,fog,0.38
Ulundurpet Roundabout,11.6876,79.2876,39,18,22,highway,overspeeding,rain,0.2
Thiagadurgam Highway,11.7422,79.0833,28,19,23,highway,fatigue,normal,0.18
Tirunavalur Intersection,11.7611,79.2255,18,7,10,urban,signal_jumping,rain,0.14
Kachirayapalayam Route,11.6988,78.9511,15,8,11,rural,overtaking,fog,0.16
Rishivandiyam Rural Road,11.8155,78.8955,12,6,9,rural,overspeeding,normal,0.1
Thirukovilur Bypass,11.9611,79.2011,32,20,1,highway,fatigue,normal,0.22
Sriperumbudur NH48 Stretch,12.9654,79.9432,48,22,3,highway,fatigue,fog,0.25
Sunguvarchatram Industrial Route,12.9321,79.8765,36,19,23,highway,overtaking,normal,0.18
Baluchetty Chatram,12.8765,79.7654,29,18,21,urban,signal_jumping,rain,0.15
White Gate Highway,12.8432,79.7123,24,7,10,rural,overspeeding,normal,0.12
Ponnerikarai Junction,12.8511,79.7055,38,17,20,highway,drunk_driving,fog,0.2
Dhamal Bypass,12.8955,79.6644,31,18,22,highway,overspeeding,normal,0.18
Uthiramerur SH118A Stretch,12.6144,79.7688,27,19,23,highway,fatigue,rain,0.16
Cheyyar Road Crossing,12.6655,79.6588,19,8,11,rural,overtaking,normal,0.14
Mevalurkuppam Pedestrian Zone,13.0111,79.9955,35,18,21,urban,signal_jumping,normal,0.15
Pennalore Highway Segment,12.9811,79.9544,42,21,2,highway,fatigue,fog,0.24
Paramathi Bypass,11.0123,77.9876,31,20,1,highway,fatigue,normal,0.22
Aravakurichi Highway Junction,10.7654,77.9123,27,18,22,highway,overspeeding,rain,0.18
Kulithalai River Route,10.9432,78.4123,20,6,9,rural,overtaking,fog,0.15
Mayanur Village Crossing,10.9543,78.2432,15,17,20,rural,signal_jumping,normal,0.1
Pallapatti Rural Road,10.7411,77.8922,12,7,10,rural,drunk_driving,normal,0.12
Krishnarayapuram Junction,10.9455,78.2811,18,18,21,urban,overspeeding,rain,0.14
Velayuthampalayam Bypass,10.7811,77.8522,26,19,23,highway,fatigue,normal,0.18
Kadavur Hill Road,10.6644,78.1888,22,15,19,rural,overspeeding,fog,0.3
Thogamalai Intersection,10.7322,78.2544,16,8,11,rural,overtaking,normal,0.12
Karur Town NH83,10.9588,78.0811,44,21,2,highway,signal_jumping,rain,0.25
Hosur NH48 Toll Plaza,12.7321,77.8432,46,2,6,highway,fatigue,fog,0.24
Shoolagiri Ghat Section,12.6543,77.9876,38,21,1,highway,overspeeding,rain,0.3
Rayakottai Rural Intersection,12.5123,78.0432,16,7,10,rural,overtaking,normal,0.15
Bargur Highway Curve,12.5432,78.3543,26,18,22,highway,signal_jumping,normal,0.18
Uthangarai SH Roundabout,12.2611,78.5322,32,19,23,urban,overspeeding,fog,0.2
Kaveripattinam Bypass,12.3955,78.2111,29,20,1,highway,fatigue,normal,0.22
Kelamangalam Village Route,12.6044,78.0866,14,6,9,rural,drunk_driving,rain,0.16
Anchetty Ghat Road,12.4411,77.9044,24,15,18,rural,overspeeding,fog,0.35
Denkanikottai Junction,12.5288,77.7811,19,17,20,urban,overtaking,normal,0.14
Krishnagiri NH44 Intersection,12.5255,78.2155,42,22,3,highway,signal_jumping,rain,0.26
Sivarakottai NH44 Stretch,9.7543,77.9876,44,1,5,highway,fatigue,normal,0.32
Thuvariman Junction,9.9432,78.0654,35,18,22,urban,signal_jumping,rain,0.16
Thanakkankulam Bypass,9.8765,78.0432,30,19,23,highway,overspeeding,normal,0.2
Melur Highway Crossing,10.0432,78.3456,25,7,10,rural,overtaking,fog,0.18
Thirumangalam SH72 Junction,9.8211,77.9855,38,20,2,highway,fatigue,normal,0.24
Usilampatti Rural Road,9.9655,77.7922,15,6,9,rural,drunk_driving,fog,0.14
Vadipatti Intersection,10.0811,77.9644,22,17,20,urban,signal_jumping,rain,0.15
Alanganallur Route,10.0522,78.0455,18,8,11,rural,overspeeding,normal,0.12
Kappalur Toll Plaza Zone,9.8355,78.0122,46,23,4,highway,fatigue,fog,0.28
Othakadai Highway Curve,9.9611,78.1888,32,18,21,highway,overtaking,normal,0.22
Sirkazhi SH64 Stretch,11.2345,79.7432,28,18,21,highway,overspeeding,rain,0.22
Kuttalam Rural Road,11.0432,79.5765,14,6,9,rural,drunk_driving,fog,0.15
Vaitheeswarankovil Pilgrim Route,11.1987,79.7123,34,20,2,highway,fatigue,normal,0.25
Poompuhar Coastal Road,11.1432,79.8432,19,17,20,rural,overtaking,normal,0.18
Tharangambadi Intersection,11.0255,79.8444,22,8,11,urban,signal_jumping,rain,0.14
Sembanarkoil Village Crossing,11.0788,79.7011,12,7,10,rural,overspeeding,normal,0.1
Manalmedu Route,11.1644,79.5955,16,18,22,rural,fatigue,fog,0.16
Kollidam River Bridge Approach,11.2611,79.7022,26,19,23,highway,overspeeding,rain,0.2
Mayiladuthurai Bypass,11.1055,79.6522,35,21,2,highway,drunk_driving,normal,0.22
Porayar Coastal Junction,11.0311,79.8322,20,17,21,urban,overtaking,fog,0.15
Velankanni Pilgrim Route,10.6765,79.8432,38,21,3,highway,fatigue,fog,0.28
Keechankuppam Coast Road,10.7543,79.8456,22,18,22,urban,drunk_driving,rain,0.2
Thirupoondi Junction,10.6432,79.8123,16,7,10,rural,signal_jumping,normal,0.12
Vedaranyam Highway,10.3765,79.8432,25,19,23,highway,overspeeding,normal,0.18
Kizhvelur Rural Intersection,10.6655,79.7811,14,8,11,rural,overtaking,fog,0.14
Thalainayar Coastal Route,10.4522,79.7544,18,17,20,rural,fatigue,rain,0.16
Kodiakarai Point Calimere Road,10.2888,79.8611,15,6,9,rural,overspeeding,normal,0.15
Nagore Pilgrim Stretch,10.8144,79.8355,34,22,3,highway,fatigue,fog,0.26
Thirumarugal Village Road,10.8411,79.7422,12,7,10,rural,overtaking,normal,0.1
Sikkal ECR Approach,10.7455,79.7911,26,18,21,highway,signal_jumping,rain,0.18
Kolli Hills Hairpin Bend 34,11.2654,78.3456,36,15,18,rural,overspeeding,fog,0.45
Kolli Hills Hairpin Bend 70,11.2876,78.3543,42,16,19,rural,fatigue,rain,0.48
Rasipuram Highway Junction,11.4543,78.1654,29,18,22,urban,signal_jumping,normal,0.15
Tiruchengode Rural Road,11.3765,77.8987,18,6,9,rural,overtaking,normal,0.12
Paramathi Velur NH44,11.1155,78.0022,41,21,3,highway,fatigue,fog,0.28
Sendamangalam Intersection,11.2844,78.2388,22,17,20,urban,overspeeding,normal,0.14
Pallipalayam Bypass,11.3522,77.7411,33,19,23,highway,signal_jumping,rain,0.2
Kumarapalayam Highway,11.4388,77.7255,38,20,1,highway,fatigue,normal,0.24
Puduchatram Village Route,11.3111,78.1722,15,7,10,rural,drunk_driving,fog,0.15
Namakkal Truck Terminal Stretch,11.2144,78.1655,48,22,4,highway,fatigue,rain,0.25
Kalhatty Ghat Bend 18,11.4654,76.6765,39,14,17,highway,overspeeding,fog,0.46
Kalhatty Ghat Bend 36,11.4876,76.6876,45,15,18,highway,fatigue,rain,0.5
Coonoor Ghat NH181,11.3543,76.8123,34,17,20,highway,overtaking,fog,0.35
Gudalur Forest Stretch,11.4987,76.4987,28,21,1,rural,drunk_driving,normal,0.25
Kotagiri Ghat Curve,11.4234,76.8765,22,16,19,highway,overspeeding,rain,0.3
Ooty Masinagudi Shortcut,11.4422,76.6811,41,13,16,rural,fatigue,fog,0.42
Burliar Hairpin Segment,11.3411,76.8355,35,14,18,highway,overtaking,rain,0.38
Pykara Lake Road,11.4522,76.5944,25,18,20,rural,overspeeding,normal,0.2
Kodanad Viewpoint Route,11.4688,76.9011,18,17,19,rural,fatigue,fog,0.22
Manjur Ghat Descent,11.2311,76.6622,29,15,18,highway,overspeeding,rain,0.36
Padalur NH45 Stretch,11.1654,78.8432,41,2,6,highway,fatigue,normal,0.28
Veppanthattai Junction,11.3214,78.8321,19,18,21,urban,signal_jumping,rain,0.14
Kunnam Rural Intersection,11.2345,79.0123,14,7,10,rural,overtaking,fog,0.16
Alathur Highway Curve,11.1345,78.8765,26,19,23,highway,overspeeding,normal,0.18
Perambalur Bypass Crossing,11.2311,78.8822,35,21,2,highway,fatigue,fog,0.24
Mangalamedu Village Route,11.3155,79.0411,15,6,9,rural,drunk_driving,rain,0.15
Poolambadi SH Stretch,11.3444,78.9688,22,17,20,highway,overtaking,normal,0.18
Chettikulam Rural Road,11.3922,78.8355,12,8,11,rural,signal_jumping,normal,0.1
Valikandapuram Intersection,11.2188,78.7311,18,19,23,urban,overspeeding,fog,0.15
Arumbavur Highway Junction,11.3611,78.9122,25,18,22,highway,fatigue,rain,0.2
Aranthangi Highway,10.1654,78.9876,28,18,22,highway,overspeeding,rain,0.22
Viralimalai Junction,10.6012,78.5432,35,20,1,highway,fatigue,fog,0.25
Thirumayam NH Stretch,10.2432,78.7543,31,19,23,urban,signal_jumping,normal,0.16
Alangudi Village Road,10.3654,78.9876,15,6,9,rural,overtaking,normal,0.12
Keeranur Bypass,10.5611,78.7822,25,17,20,highway,overspeeding,rain,0.18
Gandarvakottai Intersection,10.5555,79.0144,19,8,11,urban,signal_jumping,normal,0.14
Avudaiyarkoil Coastal Link,10.0522,79.0311,22,19,22,rural,fatigue,fog,0.2
Ponnamaravathi Rural Route,10.3388,78.4855,14,7,10,rural,drunk_driving,normal,0.15
Karambakkudi Highway Curve,10.5111,79.1322,28,21,2,highway,overspeeding,rain,0.22
Illuppur Village Crossing,10.5188,78.6344,16,18,21,rural,overtaking,fog,0.16
Rameswaram ECR Stretch,9.2876,79.3123,44,21,2,highway,overspeeding,fog,0.32
Pamban Bridge Approach,9.2765,79.2012,38,18,22,highway,fatigue,rain,0.25
Kilakarai Coastal Road,9.2345,78.7876,22,19,23,rural,drunk_driving,normal,0.18
Paramakudi Bypass,9.5432,78.5876,30,17,20,urban,signal_jumping,normal,0.15
Ramanathapuram ECR Potholes,9.3611,78.8322,46,20,3,highway,overspeeding,rain,0.28
Kamuthi Highway Junction,9.4055,78.3611,25,18,21,urban,fatigue,normal,0.16
Mudukulathur Rural Road,9.3244,78.5088,15,6,9,rural,overtaking,fog,0.14
Tondi Coastal Curve,9.7322,79.0155,29,19,23,highway,overspeeding,normal,0.22
Kadaladi Intersection,9.1788,78.4711,18,8,11,rural,signal_jumping,rain,0.12
Erwadi Village Route,9.2011,78.7022,24,17,20,rural,fatigue,fog,0.18
